#Run, Colliding
364485, 1009
364292, 2544
364214, 2544
364160, 2544
364098, 2544
364076, 2544
364030, 2544
363979, 2544
363947, 2544
363910, 2544
363830, 2544
363738, 2544
363710, 2544
363664, 590
363560, 62
363516, 150
363514, 150
363500, 5
363461, 6
363400, 2544
363262, 2544
363198, 2544
363129, 2544
363096, 2544
363033, 2544
362776, 2544
362661, 2544
362619, 2544
362552, 2544
362445, 2544
362388, 2544
362354, 2544
362345, 2544
362297, 2544
362204, 2544
361862, 2544
361844, 10
361795, 2544
361738, 2544
361696, 1214
361695, 1214
361690, 590
361689, 590
361635, 62
360931, -
360822, 3
360414, 2544
360402, 2544
360373, 2544
360348, 2544
360309, 2544
360293, 2544
360244, 2544
360209, 2544
360161, 2544
360129, 2544
360063, 2544
360026, 2544
359918, 2544
359872, 2544
359823, 2544
359766, 2544
359735, 2544
359717, 2544
359678, 2544
359677, 2544
359623, 2544
359593, 2544
359586, 2544
359541, 2544
359472, 2544
359441, 2544
359398, 2544
359355, 2544
359310, 2544
359286, 2544
359279, 2544
359191, 2544
359171, 2544
359170, 2544
359124, 2544
359058, 2544
359010, 2544
358985, 2544
358656, 2544
358615, 2544
358577, 2544
358541, 2544
358516, 2544
358395, 2544
358333, 2544
358325, 2544
358300, 2544
358233, 2544
358215, 2544
358175, 2544
358115, 2544
358096, 2544
358031, 2544
357962, 2544
357887, 2544
357821, 2544
357772, 974
357750, 2544
357713, 2544
357679, 2544
357620, 2544
357539, 2544
357500, 2544
357451, 2544
357409, 2544
357355, 2544
357293, 2544
357283, 2400
357193, 612
357077, 2
357050, 1
356366, 36
356259, 2544
356250, 2544
356205, 2544
356177, 2544
356124, 2544
356095, 2544
356077, 2544
355995, 2544
355877, 2544
355861, 2544
355848, 2544
355754, 2544
355651, 974
355650, 2544
355599, 2544
355563, 2544
355544, 2544
355529, 2544
355468, 2544
355446, 10
355416, 2544
355389, 2544
355331, 2544
355273, 2448
355261, 974
355224, 1450
355181, 1450
355109, 1450
355053, 732
355008, 300
354944, 732
354893, 732
354863, 300
354826, 84
354601, 2448
354494, 124
354476, 58
354396, 2448
354359, 2448
354315, 1214
354311, 1214
354309, 1214
354176, 590
354175, 590
354174, 590
354124, 140
354107, 2
352514, 2544
352494, 2544
352448, 2544
352436, 2544
352394, 2544
352340, 2544
352274, 2544
352137, 2544
352131, 2544
352123, 2544
352107, 2544
352056, 2544
351969, 2544
351894, 2544
351832, 2544
351698, 2544
351671, 2544
351636, 2544
351628, 974
351550, 2544
351455, 2544
351450, 2544
351364, 2544
351359, 2544
351325, 2544
351296, 2544
351223, 2544
351160, 2544
351062, 2544
350923, 2544
350880, 2544
350848, 2544
350842, 2544
350803, 2544
350751, 2544
350749, 2544
350682, 2544
350676, 10
350531, 2544
350479, 2162
350440, 1874
350431, 1538
350361, 1214
350310, 974
350220, 2544
350184, 2544
350160, 2544
350144, 2544
350121, 2544
350067, 2544
350013, 2544
349977, 2544
349944, 2544
349842, 2544
349841, 2544
349693, 2544
349646, 2544
349637, 2544
349592, 2544
349582, 2544
349534, 2544
349533, 2448
349526, 2448
349498, 2448
349481, 2306
349451, 2162
349335, 1874
349327, 1874
349309, 1874
349268, 1538
349263, 1538
349169, 1214
349114, 1214
349111, 1214
349051, 974
349033, 974
349014, 974
349011, 590
348895, 590
348894, 590
348885, 590
348836, 302
348618, 326
348610, 326
348609, 326
348534, 1308
348511, 62
348495, 62
348403, 469
348354, 8
348251, 216
348226, 2
348225, 2
348197, 2
